Signal 1,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
Signal 2,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0
Signal 3,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
Color,,,,,,,,
0.0,523,219,224,99,199,96,81,31
1.0,50,108,94,224,89,225,215,523
