Signal 1,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
Signal 2,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0
Signal 3,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
Color,,,,,,,,
0.0,158,144,150,98,130,99,102,80
1.0,84,95,117,148,119,141,161,174
